,TeamName,WinningPct,Pythag1,Wins,Wins1,Delta
0,Brad Jacobs,0.776,0.717,59,54.5,4.5
1,John Epping,0.7,0.623,56,49.8,6.200000000000003
2,Brad Gushue,0.704,0.666,57,53.9,3.1000000000000014
3,Brendan Bottcher,0.71,0.669,49,46.2,2.799999999999997
4,Bruce Mouat,0.706,0.713,60,60.6,-0.6000000000000014
5,Yannick Schwaller,0.639,0.583,62,56.6,5.399999999999999
6,Mike McEwen,0.648,0.63,59,57.3,1.7000000000000028
7,Niklas Edin,0.688,0.742,44,47.5,-3.5
8,Peter De Cruz,0.676,0.633,50,46.8,3.200000000000003
9,Kevin Koe,0.594,0.599,38,38.3,-0.29999999999999716
10,Matt Dunstone,0.568,0.603,42,44.6,-2.6000000000000014
11,Ross Paterson,0.636,0.616,49,47.4,1.6000000000000014
12,Jason Gunnlaugson,0.65,0.642,65,64.2,0.7999999999999972
13,Korey Dropkin,0.662,0.649,43,42.2,0.7999999999999972
14,Rich Ruohonen,0.716,0.705,58,57.1,0.8999999999999986
15,Yuta Matsumura,0.701,0.696,61,60.6,0.3999999999999986
16,Ross Whyte,0.747,0.728,59,57.5,1.5
17,Glenn Howard,0.552,0.519,32,30.1,1.8999999999999986
18,John Shuster,0.705,0.668,43,40.7,2.299999999999997
19,Chang-Min Kim,0.779,0.763,53,51.9,1.1000000000000014
20,Tanner Horgan,0.724,0.682,42,39.6,2.3999999999999986
21,Scott McDonald,0.521,0.517,37,36.7,0.29999999999999716
22,Braden Calvert,0.582,0.623,39,41.7,-2.700000000000003
23,Kirk Muyres,0.517,0.55,31,33.0,-2.0
24,Tyler Tardi,0.672,0.685,43,43.8,-0.7999999999999972
25,Jeremy Harty,0.704,0.651,38,35.2,2.799999999999997
26,Cameron Bryce,0.578,0.589,37,37.7,-0.7000000000000028
27,Jaap van Dorp,0.507,0.504,38,37.8,0.20000000000000284
28,Glen Muirhead,0.667,0.659,32,31.6,0.3999999999999986
29,Joel Retornaz,0.583,0.547,7,6.6,0.40000000000000036
30,Karsten Sturmay,0.654,0.581,34,30.2,3.8000000000000007
31,Thomas Ulsrud,0.589,0.568,33,31.8,1.1999999999999993
32,Pat Ferris,0.607,0.552,34,30.9,3.1000000000000014
33,Jamie Murphy,0.655,0.64,36,35.2,0.7999999999999972
34,Michael Fournier,0.608,0.645,31,32.9,-1.8999999999999986
35,Corey Chambers,0.625,0.617,30,29.6,0.3999999999999986
36,Jacques Gauthier,0.675,0.605,52,46.6,5.399999999999999
37,Tsuyoshi Yamaguchi,0.667,0.66,44,44.2,-0.20000000000000284
38,Vincent Roberge,0.711,0.651,27,24.7,2.3000000000000007
39,Yusuke Morozumi,0.6,0.697,45,52.3,-7.299999999999997
40,Lucien Lottenbach,0.545,0.56,36,37.0,-1.0
