"","TeamPage","Rank","Name","Games","Wins","Losses","Ties","PointsFor","PointsAgainst","HE","SD","FE","SE"
"1","https://www.curlingzone.com/team.php?teamid=134539&profileid=&view=OOM&OOMweek=37#1",1,"Brad Jacobs","76","59","17",NA,"8.03","5.05","0.52","0.09","0.66","0.22"
"2","https://www.curlingzone.com/team.php?teamid=134149&profileid=&view=OOM&OOMweek=37#1",2,"John Epping","80","56","24",NA,"7.77","6.04","0.45","0.19","0.62","0.21"
"3","https://www.curlingzone.com/team.php?teamid=134492&profileid=&view=OOM&OOMweek=37#1",3,"Brad Gushue","81","57","24",NA,"7.68","5.44","0.5","0.11","0.59","0.21"
"4","https://www.curlingzone.com/team.php?teamid=134525&profileid=&view=OOM&OOMweek=37#1",4,"Brendan Bottcher","69","49","20",NA,"7.87","5.53","0.42","0.14","0.57","0.25"
"5","https://www.curlingzone.com/team.php?teamid=134658&profileid=&view=OOM&OOMweek=37#1",5,"Bruce Mouat","85","60","25",NA,"8.78","5.57","0.47","0.14","0.62","0.29"
"6","https://www.curlingzone.com/team.php?teamid=133900&profileid=&view=OOM&OOMweek=37#1",6,"Yannick Schwaller","97","62","35",NA,"7.63","6.45","0.36","0.21","0.56","0.26"
"7","https://www.curlingzone.com/team.php?teamid=134333&profileid=&view=OOM&OOMweek=37#1",7,"Mike McEwen","91","59","32",NA,"7.39","5.66","0.37","0.13","0.53","0.27"
"8","https://www.curlingzone.com/team.php?teamid=134858&profileid=&view=OOM&OOMweek=37#1",8,"Niklas Edin","64","44","20",NA,"8.72","5.14","0.53","0.17","0.69","0.31"
"9","https://www.curlingzone.com/team.php?teamid=134345&profileid=&view=OOM&OOMweek=37#1",9,"Peter De Cruz","74","50","24",NA,"8.01","6.1","0.46","0.16","0.56","0.27"
"10","https://www.curlingzone.com/team.php?teamid=134410&profileid=&view=OOM&OOMweek=37#1",10,"Kevin Koe","64","38","26",NA,"7.45","6.09","0.51","0.17","0.58","0.18"
"11","https://www.curlingzone.com/team.php?teamid=134276&profileid=&view=OOM&OOMweek=37#1",11,"Matt Dunstone","74","42","32",NA,"7.18","5.82","0.4","0.16","0.57","0.2"
"12","https://www.curlingzone.com/team.php?teamid=134494&profileid=&view=OOM&OOMweek=37#1",12,"Ross Paterson","77","49","28",NA,"7.62","6.01","0.39","0.17","0.54","0.28"
"13","https://www.curlingzone.com/team.php?teamid=134147&profileid=&view=OOM&OOMweek=37#1",13,"Jason Gunnlaugson","100","65","35",NA,"8.41","6.28","0.48","0.19","0.51","0.3"
"14","https://www.curlingzone.com/team.php?teamid=134421&profileid=&view=OOM&OOMweek=37#1",14,"Korey Dropkin","65","43","22",NA,"8.07","5.93","0.38","0.15","0.53","0.33"
"15","https://www.curlingzone.com/team.php?teamid=134427&profileid=&view=OOM&OOMweek=37#1",15,"Rich Ruohonen","81","58","23",NA,"8.78","5.68","0.49","0.18","0.59","0.32"
"16","https://www.curlingzone.com/team.php?teamid=134119&profileid=&view=OOM&OOMweek=37#1",16,"Yuta Matsumura","87","61","26",NA,"8.69","5.74","0.5","0.15","0.57","0.27"
"17","https://www.curlingzone.com/team.php?teamid=134404&profileid=&view=OOM&OOMweek=37#1",17,"Ross Whyte","79","59","20",NA,"8.65","5.29","0.47","0.15","0.61","0.29"
"18","https://www.curlingzone.com/team.php?teamid=134335&profileid=&view=OOM&OOMweek=37#1",18,"Glenn Howard","58","32","26",NA,"6.88","6.62","0.35","0.16","0.49","0.2"
"19","https://www.curlingzone.com/team.php?teamid=134391&profileid=&view=OOM&OOMweek=37#1",19,"John Shuster","61","43","18",NA,"8.62","6.08","0.45","0.17","0.57","0.25"
"20","https://www.curlingzone.com/team.php?teamid=134260&profileid=&view=OOM&OOMweek=37#1",20,"Chang-Min Kim","68","53","15",NA,"9.84","5.48","0.5","0.18","0.64","0.34"
"21","https://www.curlingzone.com/team.php?teamid=134230&profileid=&view=OOM&OOMweek=37#1",21,"Tanner Horgan","58","42","16",NA,"8.03","5.48","0.44","0.14","0.63","0.3"
"22","https://www.curlingzone.com/team.php?teamid=134320&profileid=&view=OOM&OOMweek=37#1",22,"Scott McDonald","71","37","34",NA,"7.12","6.88","0.37","0.22","0.51","0.23"
"23","https://www.curlingzone.com/team.php?teamid=134200&profileid=&view=OOM&OOMweek=37#1",23,"Braden Calvert","67","39","28",NA,"7.96","6.19","0.4","0.19","0.54","0.29"
"24","https://www.curlingzone.com/team.php?teamid=134387&profileid=&view=OOM&OOMweek=37#1",24,"Kirk Muyres","60","31","29",NA,"6.92","6.26","0.34","0.21","0.56","0.26"
"25","https://www.curlingzone.com/team.php?teamid=133910&profileid=&view=OOM&OOMweek=37#1",25,"Tyler Tardi","64","43","21",NA,"8.68","5.88","0.5","0.19","0.55","0.32"
"26","https://www.curlingzone.com/team.php?teamid=134564&profileid=&view=OOM&OOMweek=37#1",26,"Jeremy Harty","54","38","16",NA,"8.22","6.02","0.38","0.19","0.58","0.31"
"27","https://www.curlingzone.com/team.php?teamid=134197&profileid=&view=OOM&OOMweek=37#1",27,"Cameron Bryce","64","37","27",NA,"7.93","6.62","0.39","0.21","0.57","0.29"
"28","https://www.curlingzone.com/team.php?teamid=133948&profileid=&view=OOM&OOMweek=37#1",28,"Jaap van Dorp","75","38","37",NA,"7.04","6.99","0.34","0.24","0.48","0.25"
"29","https://www.curlingzone.com/team.php?teamid=135868&profileid=&view=OOM&OOMweek=37#1",29,"Glen Muirhead","48","32","16",NA,"7.83","5.63","0.42","0.2","0.52","0.25"
"30","https://www.curlingzone.com/team.php?teamid=134315&profileid=&view=OOM&OOMweek=37#1",30,"Joel Retornaz","57","37","20",NA,"8.03","6.41","0.39","0.23","0.56","0.27"
"31","https://www.curlingzone.com/team.php?teamid=134075&profileid=&view=OOM&OOMweek=37#1",31,"Karsten Sturmay","52","34","18",NA,"7.37","6.26","0.4","0.17","0.54","0.26"
"32","https://www.curlingzone.com/team.php?teamid=134065&profileid=&view=OOM&OOMweek=37#1",32,"Thomas Ulsrud","56","33","23",NA,"7.8","6.8","0.42","0.19","0.52","0.28"
"33","https://www.curlingzone.com/team.php?teamid=133942&profileid=&view=OOM&OOMweek=37#1",33,"Pat Ferris","56","34","22",NA,"7.57","6.82","0.35","0.25","0.53","0.23"
"34","https://www.curlingzone.com/team.php?teamid=134359&profileid=&view=OOM&OOMweek=37#1",34,"Jamie Murphy","55","36","19",NA,"8.42","6.32","0.48","0.16","0.55","0.26"
"35","https://www.curlingzone.com/team.php?teamid=134665&profileid=&view=OOM&OOMweek=37#1",35,"Michael Fournier","51","31","20",NA,"9.33","6.92","0.44","0.25","0.58","0.29"
